0.161	0.438
0.182	0.666
0.213	0.730
0.225	1.121
0.269	1.255
0.270	1.493
0.334	1.636
0.507	1.888
0.850	1.810
1.026	1.664
1.152	1.555
1.243	1.433
1.341	1.281
1.416	1.168
1.502	1.076
1.568	0.992
1.806	0.607
1.957	0.577
2.022	0.521
2.091	0.475
2.174	0.434
2.217	0.391
2.239	0.357
2.335	0.329
2.412	0.303
2.425	0.279
2.499	0.252
2.564	0.232
2.629	0.214
2.668	0.196
2.737	0.178
2.835	0.159
2.910	0.144
2.953	0.131
3.087	0.120
3.128	0.110
3.175	0.101
3.300	0.095
3.342	0.087
3.408	0.079
3.516	0.074
3.581	0.068
3.689	0.063
3.776	0.058
3.949	0.055
4.122	0.053
