0.031	0.083
0.031	0.094
0.031	0.106
0.031	0.117
0.031	0.130
0.031	0.144
0.031	0.160
0.031	0.177
0.035	0.196
0.058	0.217
0.058	0.241
0.076	0.267
0.084	0.296
0.085	0.328
0.085	0.363
0.085	0.403
0.090	0.446
0.102	0.494
0.113	0.548
0.113	0.607
0.113	0.673
0.113	0.746
0.113	0.827
0.113	0.916
0.113	1.015
0.113	1.125
0.113	1.247
0.113	1.382
0.113	1.532
0.113	1.698
0.131	1.881
0.140	2.085
0.151	2.311
0.167	2.561
0.194	2.875
0.216	3.269
0.238	3.718
0.251	4.120
0.261	4.566
0.267	5.192
0.302	5.754
0.306	6.377
0.308	7.068
0.358	8.246
0.358	9.377
0.412	10.662
0.412	11.817
0.467	13.265
0.494	14.891
0.547	16.717
0.630	18.766
0.656	21.340
0.739	24.857
0.833	28.311
0.878	31.376
1.011	34.364
1.202	38.070
1.420	40.052
1.668	40.090
1.883	41.094
2.168	40.042
2.428	39.540
2.782	37.560
3.027	36.607
3.272	34.773
3.463	32.403
3.653	30.604
3.853	28.065
4.062	25.876
4.238	24.108
4.416	22.465
4.634	20.798
4.867	19.009
5.070	17.826
5.260	16.933
5.451	15.880
5.669	15.267
5.860	14.328
6.105	13.610
6.323	12.929
6.545	12.601
6.759	12.124
7.012	11.683
7.276	11.225
7.521	10.816
7.794	10.392
8.011	9.955
8.229	9.621
8.474	9.139
8.692	8.799
8.965	8.361
9.183	8.037
9.401	7.634
9.591	7.252
9.782	6.888
10.027	6.543
10.267	6.136
10.501	5.696
10.708	5.363
10.926	5.018
11.146	4.632
11.416	4.282
11.634	3.964
11.852	3.670
12.015	3.398
12.233	3.146
12.397	2.912
12.566	2.696
12.751	2.528
12.874	2.306
13.072	2.146
13.231	1.997
13.439	1.834
13.704	1.698
13.922	1.613
14.222	1.493
14.439	1.433
14.712	1.347
14.984	1.280
15.311	1.216
15.638	1.170
15.883	1.125
16.101	1.097
16.319	1.069
16.564	1.055
16.809	1.069
16.973	0.952
